numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
1,0.826,-0.358,-0.281,95.276,51.224,-23.483
2,0.955,-0.369,-0.308,-104.004,95.840,-181.213
3,1.003,-0.143,-0.301,-33.585,48.767,-65.079
4,1.009,-0.082,-0.271,-13.885,21.637,-22.461
5,1.026,-0.138,-0.253,-24.689,42.343,-30.685
6,0.948,-0.081,-0.190,16.632,10.986,25.101
7,1.019,-0.095,-0.214,0.198,20.218,-7.248
8,1.008,-0.129,-0.200,40.863,7.217,23.972
9,0.994,-0.157,-0.209,36.804,11.520,18.463
10,1.003,-0.140,-0.223,-16.220,1.129,4.150
11,0.952,-0.252,-0.220,11.307,-7.248,80.627
12,1.008,-0.338,-0.203,7.355,21.729,127.487
13,0.986,-0.689,0.096,90.759,90.515,255.020
14,0.682,-0.581,0.071,-112.091,275.482,171.753
15,0.446,-0.765,0.228,44.418,246.368,115.341
16,0.377,-0.798,0.326,-66.925,295.227,-42.419
17,0.412,-0.875,0.271,41.809,91.049,-102.234
18,0.579,-0.830,0.572,93.704,196.869,-23.056
19,0.473,-0.832,0.407,-42.679,44.983,-40.359
20,0.429,-0.793,0.510,18.372,-46.585,7.355
21,0.496,-0.822,0.264,-105.911,-41.733,-39.459
22,0.718,-0.990,0.643,36.865,111.404,252.396
23,0.212,-0.871,0.517,-104.233,18.936,72.769
24,0.102,-1.041,0.317,-19.241,24.704,333.405
25,-0.380,-0.784,0.227,10.162,164.215,475.677
26,-0.700,-0.800,0.070,-61.630,237.442,382.355
27,-0.813,-0.009,-0.186,151.276,162.521,310.364
28,-0.944,0.051,-0.257,25.330,-0.244,-4.074
29,-0.938,0.007,-0.334,-24.048,-41.656,-35.431
30,-0.893,-0.024,-0.157,-182.205,-226.257,-277.664
31,-0.812,-0.364,-0.191,-274.750,-311.340,-308.578
32,-0.559,-0.395,0.438,227.982,-34.225,-257.538
33,0.011,-0.805,0.502,82.733,-87.845,-500.000
34,0.229,-1.423,0.246,-32.303,210.907,-71.686
35,0.126,-0.941,0.390,-10.071,-31.555,39.368
36,0.289,-0.804,0.171,-128.967,-430.084,-33.539
37,0.800,-0.774,-0.123,-500.000,-438.858,-500.000
38,0.470,-0.060,-0.632,-31.967,-83.878,-174.118
39,0.855,-0.128,-0.501,-90.576,23.926,-184.235
40,0.881,-0.176,-0.382,72.617,103.531,-11.566
41,0.938,-0.154,-0.563,-102.509,-61.508,-159.348
42,0.973,-0.030,-0.559,78.278,16.449,108.307
43,1.027,-0.328,-0.408,174.927,89.722,340.500
44,0.888,-0.534,0.208,210.770,489.624,497.787
45,0.542,-0.944,0.087,-68.405,174.942,164.841
46,0.555,-0.657,0.104,-88.516,499.985,-50.583
47,0.422,-1.052,0.081,-21.637,123.947,-73.135
48,0.342,-0.967,0.090,-66.086,35.263,-71.106
49,0.306,-0.916,0.273,58.411,-104.446,76.691
50,0.378,-0.753,0.484,105.377,-245.651,-86.166
51,0.650,-0.920,0.366,9.415,14.160,-154.816
52,0.407,-0.652,0.336,110.062,-14.542,34.271
53,0.663,-0.981,0.581,446.457,66.391,102.005
54,0.442,-0.454,0.858,364.487,106.979,50.964
55,0.028,0.027,0.877,268.570,139.084,24.887
56,0.476,-0.337,1.111,-12.650,21.606,-137.360
57,0.136,-0.154,1.017,-2.274,18.967,-25.925
58,0.226,-0.039,0.989,58.441,14.771,17.120
59,0.222,-0.016,1.001,9.262,5.020,-2.151
60,0.216,-0.010,1.018,2.090,8.377,1.160
61,0.207,-0.011,1.026,1.923,4.608,1.312
62,0.211,-0.012,1.025,1.923,3.906,0.916
63,0.213,-0.011,1.028,2.060,3.357,1.999
64,0.209,-0.005,1.018,1.770,6.149,0.534
65,0.208,-0.008,1.020,1.556,1.541,-0.031
66,0.208,-0.015,1.026,2.014,5.402,0.946
