numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
1,0.177,-0.014,1.026,1.816,3.494,0.717
2,0.179,-0.009,1.029,2.029,3.418,0.778
3,0.180,-0.013,1.033,2.045,3.220,1.007
4,0.178,-0.016,1.028,1.999,3.616,0.732
5,0.175,-0.011,1.033,2.228,3.510,0.565
6,0.179,-0.011,1.025,2.533,3.265,1.190
7,0.180,-0.014,1.023,2.319,3.036,0.961
8,0.176,-0.015,1.031,2.075,2.991,0.977
9,0.177,-0.014,1.028,2.151,3.067,1.251
10,0.177,-0.011,1.023,2.075,3.189,0.900
11,0.178,-0.013,1.032,2.426,2.762,0.992
12,0.177,-0.017,1.026,2.396,3.494,1.114
13,0.179,-0.010,1.027,2.029,3.448,0.702
14,0.178,-0.013,1.030,1.862,2.975,0.549
15,0.182,-0.016,1.031,1.907,3.235,0.488
16,0.176,-0.010,1.027,1.953,3.342,0.656
17,0.176,-0.013,1.028,2.014,3.571,1.068
18,0.180,-0.014,1.026,2.411,2.930,1.266
19,0.179,-0.013,1.025,2.060,2.884,0.778
20,0.177,-0.012,1.023,1.984,3.250,0.824
21,0.180,-0.014,1.034,1.892,3.082,0.549
22,0.175,-0.016,1.029,2.106,3.586,0.763
23,0.178,-0.014,1.032,2.426,3.006,0.961
24,0.175,-0.016,1.033,2.090,3.174,0.641
25,0.175,-0.018,1.024,1.816,2.853,0.671
26,0.178,-0.011,1.030,1.801,3.067,1.083
27,0.179,-0.012,1.033,2.533,3.555,0.275
28,0.178,-0.009,1.040,2.045,3.235,0.977
29,0.178,-0.012,1.034,1.816,2.792,0.946
30,0.177,-0.014,1.030,1.892,3.021,0.946
31,0.111,-0.010,1.036,52.902,13.748,115.967
32,0.081,0.013,-0.185,32.776,5.997,-123.077
33,0.181,-0.014,1.030,2.045,3.479,0.336
34,0.113,0.026,1.027,-26.047,-94.345,-49.545
35,0.151,-0.362,0.993,-307.312,32.318,-123.901
36,0.371,-0.261,1.140,-33.203,-111.160,154.724
37,-0.015,-0.335,0.683,80.750,75.485,142.700
38,0.225,-0.873,0.759,-412.354,79.849,-39.200
39,0.103,-0.109,0.559,499.985,-157.745,28.961
40,0.230,-0.745,1.053,255.936,104.935,313.492
41,0.070,-0.102,1.134,323.807,462.753,200.409
42,-0.617,-0.694,0.813,-44.067,-500.000,9.094
43,-0.067,-0.670,-0.174,-489.944,252.548,-500.000
44,0.345,-0.335,2.000,499.985,84.396,353.867
45,-0.423,-0.825,0.345,-287.628,-500.000,-282.364
46,0.120,-0.366,0.281,-57.419,499.985,-56.793
47,0.088,-0.441,2.000,480.392,-150.543,166.946
48,-0.263,-1.153,0.186,-145.630,-327.820,74.921
49,-0.217,-0.044,-0.226,21.698,499.985,0.717
50,-0.577,-0.390,0.319,112.137,248.001,190.796
51,-0.837,-0.416,0.382,-16.769,-39.886,-75.378
52,-0.557,-0.686,0.360,-73.120,-188.217,-196.976
53,-0.321,-0.970,0.125,-283.524,7.935,-216.965
