numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
54,0.016,-0.960,-0.386,-347.412,95.108,-191.849
55,0.159,-1.060,-0.443,499.985,71.167,219.284
56,0.002,-0.772,0.163,359.375,72.922,223.892
57,0.250,-0.802,0.457,-323.563,-292.419,-500.000
58,0.567,-1.210,0.103,97.183,63.431,7.233
59,0.469,-0.840,0.341,5.249,5.539,-202.606
60,0.647,-0.764,0.127,-9.033,499.985,103.424
61,0.225,-0.534,0.857,63.766,123.138,79.758
62,0.304,-0.951,0.467,-180.603,-69.168,107.513
63,0.408,-1.052,0.871,228.607,13.504,-47.333
64,-0.001,-0.314,0.623,-189.453,-172.470,-104.095
65,0.630,-0.726,0.380,45.578,25.360,-55.252
66,0.410,-0.587,0.719,165.787,-9.232,-6.470
67,0.708,-0.820,0.907,458.160,47.150,190.964
68,0.332,-0.178,0.942,283.432,146.378,72.723
69,0.121,0.188,1.117,435.837,163.727,-15.091
70,-0.060,0.539,0.469,237.717,33.081,33.310
71,-0.095,0.762,0.695,41.031,-3.159,45.197
72,0.091,0.721,0.802,-80.490,-0.504,32.700
73,0.206,0.079,1.526,-500.000,15.472,162.598
74,0.048,-0.076,0.988,-417.511,127.029,50.201
75,-0.053,-0.779,0.534,-313.782,-101.028,-11.154
76,0.101,-0.877,0.510,-500.000,134.583,-108.261
77,0.071,-1.069,0.238,206.482,-65.018,-31.540
78,0.149,-0.855,0.620,427.124,42.328,26.230
79,0.052,-0.523,1.055,499.985,-1.068,-74.951
80,0.148,-0.258,1.130,208.130,-39.825,-34.424
81,0.062,1.772,0.815,-500.000,104.828,-385.010
82,0.470,-0.029,0.847,-500.000,228.134,149.689
83,0.361,-0.146,1.055,177.505,64.133,84.549
84,0.243,-0.073,1.064,12.665,81.299,52.063
85,0.246,-0.026,1.029,5.356,18.600,13.046
86,0.245,-0.022,1.017,2.609,7.477,3.632
87,0.235,-0.018,1.015,2.899,5.341,3.937
88,0.238,-0.011,1.018,2.319,5.249,1.785
89,0.235,-0.021,1.011,2.045,5.966,1.511
90,0.228,-0.016,1.021,2.258,4.303,1.953
91,0.199,0.104,1.074,-34.729,-5.600,-66.727
92,0.244,0.002,1.004,-5.188,-3.952,-39.368
93,0.225,-0.018,1.010,1.877,2.197,0.046
94,0.225,-0.011,1.020,2.472,6.104,1.434
95,0.220,-0.017,1.024,2.014,3.571,0.977
96,0.224,-0.013,1.023,2.380,3.281,1.556
97,0.223,-0.015,1.021,1.953,3.372,1.160
98,0.221,-0.010,1.023,1.953,3.418,1.556
99,0.223,-0.010,1.018,2.350,3.708,0.534
100,0.217,-0.014,1.020,1.831,3.357,1.099
101,0.216,-0.012,1.017,2.045,3.418,0.671
102,0.215,-0.017,1.018,1.694,3.784,1.236
103,0.217,-0.016,1.019,2.167,3.281,1.343
104,0.220,-0.018,1.020,2.213,2.808,0.870
105,0.215,-0.013,1.017,1.846,3.601,1.373
106,0.218,-0.016,1.025,1.633,3.250,0.748
107,0.213,-0.014,1.024,2.274,3.174,0.870
108,0.213,-0.012,1.023,2.090,3.250,0.610
109,0.216,-0.013,1.017,1.755,4.181,1.038
110,0.221,-0.018,1.013,4.547,-9.186,13.611
111,0.219,-0.019,1.015,2.304,7.812,0.824
