numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
1,-0.318,-0.595,0.988,385.788,-65.826,195.892
2,-0.059,0.004,0.993,-18.112,-3.754,15.823
3,0.011,0.006,1.055,-43.365,-3.311,14.221
4,0.008,-0.069,1.060,-0.687,-12.131,18.723
5,0.033,-0.033,1.050,-7.965,1.190,-2.426
6,0.053,-0.035,1.066,14.877,-11.154,4.593
7,0.068,-0.056,1.071,3.952,5.173,2.411
8,0.013,-0.120,0.972,-24.353,-22.507,6.989
9,0.058,-0.017,1.055,10.391,-1.755,-9.171
10,0.085,0.014,1.076,25.406,-4.456,-7.721
11,0.072,0.030,1.047,19.150,1.572,13.016
12,0.065,0.040,1.028,-18.143,-2.029,7.904
13,0.101,-0.056,1.072,-112.366,-16.586,-10.315
14,0.081,-0.194,1.014,-133.850,-2.106,-4.211
15,0.085,-0.356,0.978,-74.677,8.057,4.242
16,0.067,-0.384,0.952,-53.040,-7.385,20.966
17,0.052,-0.411,0.919,-46.844,13.611,30.136
18,0.097,-0.487,0.935,-154.724,-35.324,20.767
19,0.047,-0.740,0.634,-349.472,46.341,17.166
20,0.019,-0.894,0.460,-107.635,29.694,10.010
21,0.025,-0.953,0.420,-38.315,12.573,9.842
22,0.007,-0.989,0.344,-18.677,0.427,-3.265
23,0.017,-0.972,0.348,-10.391,-3.265,2.411
24,0.027,-0.970,0.342,-5.600,-14.313,-6.897
25,0.003,-0.965,0.247,10.422,-5.661,-1.999
26,0.026,-0.937,0.361,45.258,5.661,7.614
27,0.015,-0.926,0.371,134.171,-24.033,-8.545
28,-0.004,-0.837,0.486,166.977,-8.286,-1.328
29,0.071,-0.750,0.760,110.443,-2.731,15.198
30,-0.056,-0.634,0.723,288.574,35.919,10.071
31,0.056,-0.266,1.048,170.410,-54.230,49.484
32,0.036,-0.183,0.994,127.670,-24.948,12.054
33,0.100,0.015,1.050,251.495,-46.280,27.634
34,0.100,0.057,1.023,-96.527,8.545,-31.693
35,0.061,-0.144,0.996,11.765,2.487,-32.730
36,0.100,0.036,1.043,49.805,13.123,-2.838
37,0.140,0.203,1.052,174.225,-23.285,22.903
38,0.081,0.284,0.996,266.281,42.374,2.380
39,0.087,0.640,0.842,193.298,16.846,4.349
40,0.067,0.733,0.648,161.819,26.581,21.164
