numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z
41,0.076,0.904,0.593,94.559,12.848,-10.117
42,0.056,0.806,0.519,90.576,4.501,1.724
43,0.076,0.899,0.434,57.129,-1.190,-13.611
44,0.097,0.986,0.369,27.390,7.828,-4.318
45,0.083,0.939,0.392,-85.526,0.793,-16.525
46,0.033,0.843,0.612,-246.109,-45.471,-47.913
47,0.078,0.480,0.829,-500.000,-76.340,-62.851
48,0.097,0.117,1.051,-175.552,-26.505,-15.289
49,0.160,0.014,1.104,-236.374,38.376,39.780
50,0.051,-0.114,1.008,34.042,-8.209,10.513
51,0.042,-0.122,1.006,19.409,-1.953,0.824
52,0.086,-0.060,1.051,40.680,-13.672,11.780
53,0.109,-0.021,1.025,57.068,-39.352,4.318
54,0.194,0.144,1.072,81.711,-73.318,-0.031
55,0.249,0.044,1.038,27.969,-72.845,-57.266
56,0.279,-0.051,1.033,31.754,-85.541,-39.017
57,0.332,0.022,1.021,5.051,-67.169,-39.032
58,0.284,0.052,0.889,15.732,-36.148,-40.817
59,0.520,0.100,0.932,82.947,2.472,9.430
60,0.476,0.118,0.962,12.970,-52.475,-14.267
61,0.489,0.223,0.844,-4.898,8.530,4.181
62,0.485,0.141,0.930,-59.464,25.513,-8.789
63,0.439,0.037,0.920,22.598,102.112,53.757
64,0.334,0.057,0.887,-1.709,112.518,64.285
65,0.230,0.021,1.008,22.919,97.305,29.266
66,0.136,0.069,1.028,-40.649,61.295,2.151
67,0.066,-0.077,0.993,-9.506,23.392,-31.250
68,0.137,0.093,1.110,48.920,3.571,0.137
69,0.071,-0.006,1.049,-0.458,13.123,6.973
70,0.081,0.036,1.044,8.591,2.090,15.228
71,0.064,0.027,1.031,8.255,4.074,7.507
72,0.078,0.010,1.093,-33.020,70.663,18.448
73,-0.041,-0.010,1.046,-6.470,90.607,51.651
74,-0.185,-0.100,0.979,-40.894,126.343,1.221
75,-0.272,-0.115,1.021,5.707,104.843,20.691
76,-0.408,-0.105,0.868,15.121,52.429,3.799
77,-0.393,-0.045,0.936,5.295,12.009,-1.907
78,-0.396,-0.063,0.948,-1.312,-14.771,12.787
79,-0.355,-0.109,1.015,21.973,-52.307,-2.182
80,-0.282,-0.023,1.022,0.381,-81.772,22.720
81,-0.142,0.064,1.064,26.810,-84.625,13.824
82,-0.079,-0.031,1.011,-18.814,-69.931,-0.183
83,0.025,-0.075,1.126,-6.119,-46.204,8.209
84,0.037,-0.045,1.042,16.403,-8.926,16.876
85,0.026,-0.014,1.052,11.536,7.507,2.991
86,0.029,-0.010,1.042,4.807,-2.823,5.127
87,0.017,-0.015,1.044,6.378,1.984,0.183
88,0.024,-0.055,1.055,0.732,-8.438,0.275
89,0.034,-0.023,1.053,7.568,4.257,-5.371
90,0.008,-0.070,1.052,-4.028,5.127,2.289
91,0.040,0.023,1.081,-4.761,0.336,-0.687
92,0.020,-0.062,1.055,-8.255,11.948,-11.078
93,0.067,-0.008,1.075,38.940,-38.528,-28.610
94,0.086,0.017,1.017,8.102,15.259,19.897
95,0.072,0.026,1.042,26.413,-15.152,-2.335
96,0.069,-0.064,1.057,11.978,-3.586,2.625
97,0.031,-0.112,1.021,16.632,9.949,-12.329
98,0.101,-0.004,1.105,21.820,9.369,-1.450
99,0.023,0.084,1.013,16.617,13.336,-14.969
100,0.037,0.028,1.050,3.708,6.363,6.653
101,0.070,0.028,1.073,-0.107,-6.485,6.088
102,0.066,0.060,1.014,5.295,1.770,6.134
103,0.061,0.029,1.063,-3.342,8.575,3.647
104,0.032,-0.018,0.994,5.554,-0.504,4.913
105,0.069,0.016,1.045,15.244,-2.151,8.011
106,0.073,0.080,1.041,18.585,-12.512,9.888
107,0.069,0.054,1.059,-7.141,21.912,-7.080
108,0.032,0.071,1.005,7.019,5.188,7.645
